Trade_DT,2021_adv_observe_one_year,2021_adv,adv
2018-01-02,0.0,0.0,0.0
2018-01-03,0.0,0.0,0.0
2018-01-04,0.0,0.0,0.0
2018-01-05,0.0,0.0,0.0
2018-01-08,0.0,0.0,0.0
2018-01-09,-2.2004970000044644e-05,-5.053956000022897e-05,-6.353550000226527e-06
2018-01-10,-0.00020004666000006388,1.1767580000210387e-05,-1.5228639999809168e-05
2018-01-11,-0.0001096491300000002,-0.00014972774999999494,-1.8036930000131512e-05
2018-01-12,-0.0002678308600000401,0.0004341228999998892,4.281203999989547e-05
2018-01-15,0.0003602687200000565,0.00035875821999997726,8.839518000014479e-05
2018-01-16,-0.0009718687199999909,-0.001960607119999902,-0.00029220774000005
2018-01-17,-0.0003972735200000743,-0.0005442017400000276,-7.942754000000996e-05
2018-01-18,0.001059663639999986,0.0015706435400002494,0.0003309787300000977
2018-01-19,0.00024506863000006707,0.0003389966399998112,7.05952499999718e-05
2018-01-22,8.597657999986907e-05,0.0016675301199999826,0.00032627663999984513
2018-01-23,0.0003616775299999375,0.0014907588600001631,0.0005322427100000748
2018-01-24,-0.0008917867799999035,-0.0015709097200000688,-0.00032027962999992
2018-01-25,0.00043409674999994596,0.00044648797999990997,-0.0002342236399999198
2018-01-26,-0.0007394273500000992,-0.0010964938099997656,-0.00023692928999996532
2018-01-29,-0.0004172358899998674,0.0037335729199998724,0.000835682909999802
2018-01-30,0.0009288335999999564,0.0022964213999998595,0.0006063141200001176
2018-01-31,0.0003679495899998608,-0.0015421888799997951,-5.9401699999961366e-05
2018-02-01,0.00015721202999996464,0.0006545288099999436,0.0009261681599999072
2018-02-02,0.0011495466600001114,0.0015238952400000727,0.00036393096000009173
2018-02-05,-0.0005873408199998931,0.0004986768399999342,0.00034090059999991595
2018-02-06,-0.004631210990000079,-0.0011031610000000747,0.00035588680999998346
2018-02-07,-0.0002086553100001387,-0.00020593839999993868,-0.001629791290000071
2018-02-08,-0.00010617378999999705,-0.0017504119300000287,0.000528258559999939
2018-02-09,-0.0022655024299998994,-0.005602148519999961,0.0010508756000000563
2018-02-12,0.003376975879999966,0.0030658864700001676,0.0008335176200000571
