Trade_DT,2021_adv_observe_one_year,2021_adv,adv
2018-01-02,1.0,1.0,1.0
2018-01-03,1.0,1.0,1.0
2018-01-04,1.0,1.0,1.0
2018-01-05,1.0,1.0,1.0
2018-01-08,1.0,1.0,1.0
2018-01-09,0.99997799503,0.9999494604399998,0.9999936464499998
2018-01-10,0.9997779483699999,0.99996122802,0.99997841781
2018-01-11,0.9996682992399999,0.99981150027,0.9999603808799998
2018-01-12,0.9994004683799999,1.0002456231699999,1.0000031929199997
2018-01-15,0.9997607370999999,1.0006043813899999,1.0000915880999999
2018-01-16,0.9987888683799999,0.99864377427,0.9997993803599998
2018-01-17,0.9983915948599998,0.9980995725299999,0.9997199528199998
2018-01-18,0.9994512584999998,0.9996702160700002,1.00005093155
2018-01-19,0.9996963271299999,1.00000921271,1.0001215267999999
2018-01-22,0.9997823037099998,1.00167674283,1.0004478034399997
2018-01-23,1.0001439812399997,1.0031675016900001,1.0009800461499998
2018-01-24,0.9992521944599998,1.00159659197,1.0006597665199999
2018-01-25,0.9996862912099997,1.00204307995,1.00042554288
2018-01-26,0.9989468638599996,1.0009465861400002,1.00018861359
2018-01-29,0.9985296279699998,1.00468015906,1.0010242964999998
2018-01-30,0.9994584615699997,1.00697658046,1.00163061062
2018-01-31,0.9998264111599996,1.0054343915800001,1.00157120892
2018-02-01,0.9999836231899996,1.00608892039,1.0024973770799999
2018-02-02,1.0011331698499997,1.0076128156300002,1.00286130804
2018-02-05,1.0005458290299998,1.00811149247,1.0032022086399999
2018-02-06,0.9959146180399997,1.00700833147,1.0035580954499999
2018-02-07,0.9957059627299996,1.00680239307,1.0019283041599998
2018-02-08,0.9955997889399996,1.00505198114,1.0024565627199997
2018-02-09,0.9933342865099997,0.9994498326200001,1.0035074383199998
2018-02-12,0.9967112623899996,1.0025157190900003,1.0043409559399998
2018-02-13,0.9983295395999997,1.0066659515700003,1.0045123887699998
2018-02-14,0.9998997678399997,1.0094832394700002,1.00509510831
2018-02-22,1.0049533537499997,1.01693214405,1.00871790837
2018-02-23,1.0059381994999996,1.0190386017700002,1.0104047817799997
2018-02-26,1.0109813603899998,1.02699129384,1.0135668785999998
2018-02-27,1.0139333090299998,1.0313073705200002,1.01313681148
2018-02-28,1.0143026611699997,1.03369706042,1.0130085004599998
2018-03-01,1.0127681598399998,1.0315115630000002,1.0126178489
2018-03-02,1.01139223162,1.03058003486,1.01248616634
2018-03-05,1.0113123811,1.030839224,1.01253612495
2018-03-06,1.0156942225199996,1.03644285231,1.0149779135499999
2018-03-07,1.0121594535199998,1.03027477735,1.01259803309
2018-03-08,1.0125253012299997,1.0305572903900002,1.0132501126500002
2018-03-09,1.0140892716699998,1.03216199543,1.0140210742500002
2018-03-12,1.0157043320399999,1.03464518546,1.01510205399
2018-03-13,1.01806563288,1.0358396957,1.0153299929700004
2018-03-14,1.0201254923399998,1.03761930242,1.0157314542300002
2018-03-15,1.0206753253499996,1.03613397336,1.01519437235
2018-03-16,1.0223838805199998,1.0373763546399999,1.0162114873900001
2018-03-19,1.0233268731299998,1.03928535214,1.01662435636
2018-03-20,1.0232854844099997,1.03960859314,1.0166690790400001
2018-03-21,1.0243038571599998,1.04029984159,1.01719109284
2018-03-22,1.0267575628199999,1.0431440089200001,1.01830744822
2018-03-23,1.0502295687199998,1.0743598548800002,1.0319424964600001
2018-03-26,1.0506881948799995,1.0746392659400001,1.03135264056
2018-03-27,1.0506633870899997,1.07444850236,1.02975228314
2018-03-28,1.05700219541,1.07915129392,1.03359719051
2018-03-29,1.0596492224499998,1.08043041692,1.0353801391500002
2018-03-30,1.0600586001899999,1.0797035313299999,1.03585875036
2018-04-02,1.0597230801099997,1.0799325321700002,1.0356091149000002
2018-04-03,1.0594102136499997,1.07937899593,1.0355094499200002
2018-04-04,1.0592598719499997,1.07944501213,1.03522077726
2018-04-09,1.0593409247699996,1.0795742160700001,1.0354723061000002
2018-04-10,1.0611165581299997,1.07865626925,1.03571620553
2018-04-11,1.0614041612999998,1.07878123327,1.03579267905
2018-04-12,1.0605433492399998,1.07769688941,1.03559815067
2018-04-13,1.0592276496799997,1.0747073122200004,1.0340281468399999
2018-04-16,1.0634290553699999,1.07869623946,1.03533295769
2018-04-17,1.0686559644499998,1.084545158,1.03752954885
2018-04-18,1.0666854376199997,1.0833026044900003,1.03650289984
2018-04-19,1.0680196250899998,1.08385189539,1.03638007856
2018-04-20,1.0667944353599998,1.0799391974800001,1.03668966947
2018-04-23,1.0675497321399998,1.0808646968400002,1.03677487325
2018-04-24,1.0684250641,1.0869393968000003,1.0404765621999998
2018-04-25,1.0696863882599998,1.0890325720200003,1.0409646369799999
2018-04-26,1.07723703391,1.0964659765200002,1.04310535234
2018-04-27,1.0773943702099997,1.0953034222800002,1.04310627164
2018-05-02,1.0774842682499997,1.0951011235800003,1.04311209234
2018-05-03,1.07778223331,1.0971840462200002,1.04286951136
2018-05-04,1.07644655784,1.0955359951500003,1.0420231569899998
2018-05-07,1.0826273701999998,1.0992750040900003,1.04489945799
2018-05-08,1.0849688254899998,1.1027749014400003,1.0487101879899998
2018-05-09,1.08413413165,1.1029606947600001,1.04811098561
2018-05-10,1.0861155557399997,1.1059767354600003,1.0497419441899998
2018-05-11,1.0868554497399998,1.1063163035600003,1.04981203955
2018-05-14,1.0867107453799998,1.1056288430400005,1.0499711254699997
2018-05-15,1.08513862097,1.1033662566700002,1.04868478586
2018-05-16,1.0860093941,1.1054266987400003,1.04857532067
2018-05-17,1.0850876382799999,1.1035011487200006,1.04791697485
