Year,Ret,Std,MDD,IR,Calmar,Win_Ratio,Turnover
2015,0.053642479212545995,0.026144809868099236,0.011985347681671366,2.051744858087426,4.475671514692806,0.5365853658536586,1.268041237113402
2016,0.0761770359016176,0.031688785056435374,0.014697267578214768,2.4039115341895236,5.1830747107395725,0.6,1.3114754098360657
2017,0.03384024421709054,0.03176333257760988,0.03323132157406761,1.0653870822403781,1.0183237564496415,0.5705128205128205,1.278688524590164
2018,0.046335632610142015,0.019834183628624477,0.011517186333588558,2.3361502281984996,4.023172958052214,0.6013986013986014,1.176954732510288
2019,0.03335876581367229,0.01920258985552782,0.019142203448590966,1.7372013913044833,1.7426816041978586,0.5987261146496815,1.2868852459016393
2020,0.0821188657912292,0.022255407832245694,0.008505429419098265,3.6898387308925336,9.654875932170789,0.5986394557823129,1.2098765432098766
2021,0.024744164366783443,0.016674437513854362,0.008300897992049805,1.4839579653720945,2.9809021132993316,0.5859872611464968,1.2921810699588478
2022,0.038127730030634306,0.01725435104212553,0.010783629314246923,2.209745816434799,3.5357048095358206,0.6027397260273972,1.3272727272727272
All,0.04853641164487247,0.023796350448049366,0.03323132157406761,2.039657793359279,1.4605621848860908,0.5878889823380993,1.2682666666666667
2015,0.04641585161727114,0.030089624350528192,0.022013560629022377,1.5425866098077876,2.108511766882324,0.5947712418300654,1.2540983606557377
2016,0.03832733628764521,0.017952133088868536,0.0073031775191138015,2.134973938635214,5.248035692318213,0.5483870967741935,1.2704918032786885
2017,0.032385198028988225,0.015391344693229836,0.008289614959777758,2.104117520234177,3.9067192126685293,0.5769230769230769,1.278688524590164
2018,0.019545586862880916,0.012832482305722558,0.006767386356281047,1.5231337474094702,2.888203190104549,0.5850340136054422,1.2098765432098766
2019,0.032312601487329874,0.013468036870242936,0.009039798374990804,2.3992064915357645,3.5744825434076946,0.6011904761904762,1.3770491803278688
2020,0.04824388359040673,0.019679997903603683,0.011285091586960672,2.4514171102412874,4.27501037263623,0.6392405063291139,1.3004115226337447
2021,0.02744875746444525,0.0115319259464126,0.0056215215833070875,2.3802405246093454,4.882798555101768,0.5723684210526315,1.2510288065843622
2022,0.019803588607378967,0.01470322942307178,0.015193846386054477,1.3468870026814574,1.3033953420481792,0.5958904109589042,1.3272727272727272
All,0.03322767782255256,0.017861972805384284,0.022013560629022377,1.860246803899313,1.5094185980411383,0.5894736842105263,1.283116883116883
2015,,,0.0,,,,
2016,,,0.0,,,,
2017,,,0.0,,,,
2018,0.006764895786512967,0.0059640612217215115,0.0027111160386411592,1.1342767176625823,2.4952439106603514,0.64,0.9433962264150944
2019,0.009750684961747276,0.005525921341151118,0.0020984911201603618,1.764535605878908,4.6465219071320885,0.603448275862069,0.8529411764705883
2020,0.014540552667933113,0.009088309030554574,0.00583401837390729,1.5999183807513906,2.4923734784528433,0.577922077922078,1.2727272727272727
2021,0.004872575635981387,0.00537960376950761,0.004118437584260559,0.9057499110993763,1.1831126577231421,0.589041095890411,1.211618257261411
2022,0.007888566176768553,0.006501929966988324,0.0035479229921171473,1.213265325345009,2.22343218674575,0.5298507462686567,1.223744292237443
All,0.009096894610669426,0.006876740566777536,0.006913581840431671,1.3228497603381688,1.3158005243344937,0.574468085106383,1.1604938271604939
