Year,Ret,Std,MDD,IR,Calmar,Win_Ratio,Turnover
2015,0.01598420085556035,0.02102814655773039,0.01439544242209223,0.7601336052931502,1.1103653772411954,0.4573170731707317,1.3497942386831276
2016,0.04138858727005602,0.029594384706404953,0.021413595841703215,1.398528392485839,1.9328181766395014,0.4881516587677725,1.7295081967213115
2017,0.0026125292316284926,0.028294029920927947,0.03259621588466022,0.09233499925353901,0.0801482368650635,0.4880382775119617,1.7131147540983607
2018,0.01468783683824684,0.018765521615622113,0.01996398689963641,0.7827033609350544,0.7357166137248036,0.48484848484848486,1.6296296296296298
2019,0.007801747332152175,0.017955786404318407,0.02184624287300596,0.43449766868889894,0.35712078170623596,0.5126903553299492,1.6147540983606556
2020,0.053103839858732675,0.02157862695847414,0.009824353364870975,2.4609461927733207,5.40532673108202,0.5306122448979592,1.6131687242798354
2021,-0.0005250967074433638,0.01688192200757269,0.01406135623030691,-0.031104083244065592,-0.03734324761018467,0.463768115942029,1.7037037037037037
2022,0.007691843296352128,0.018716999512583106,0.02068548785505908,0.4109549338386764,0.3718473236042592,0.5027624309392266,1.6380090497737556
All,0.017958304358082298,0.022093469000920737,0.03259621588466022,0.8128331660969083,0.5509321824848227,0.491362763915547,1.623896103896104
2015,0.021864028248142275,0.027823224661102604,0.023037682428248996,0.7858193474859368,0.9490550239260362,0.5,1.7119341563786008
2016,0.008976604621892204,0.016723155451074785,0.014517216853561887,0.5367769646197532,0.6183419805904283,0.43137254901960786,1.6721311475409837
2017,-0.007729093675330942,0.012217821026034833,0.01495804098689324,-0.6326081924805653,-0.5167183110477799,0.47783251231527096,1.6639344262295082
2018,-0.004895094271466374,0.01077182647638678,0.013053344875956219,-0.454434935634829,-0.37500689041649066,0.47904191616766467,1.374485596707819
2019,-0.00040667030348165754,0.011392932119010135,0.012684765822015276,-0.03569496414387403,-0.032059740730558346,0.46766169154228854,1.6475409836065573
2020,0.01633533552001016,0.01955890141428131,0.01898911735204889,0.8351867609538948,0.8602472256693704,0.53,1.646090534979424
2021,-0.007107868259074308,0.009021995611311626,0.011952519195365108,-0.7878376985866168,-0.5946753268407687,0.40641711229946526,1.5390946502057612
2022,0.00014632861726366475,0.011642164942616664,0.014571992489463614,0.012568849349318385,0.010041771389154141,0.5,1.5565610859728507
All,0.003430248956917584,0.016025630402431098,0.028489197230142427,0.21404767680135772,0.12040525147855966,0.47405966277561606,1.602077922077922
2015,0.0,0.0,0.0,,,,0.0
2016,0.0,0.0,0.0,,,,0.0
2017,0.0,0.0,0.0,,,,0.0
2018,-0.004522424620914747,0.0031171166210116007,0.006679664455881973,-1.4508358751900277,-0.6770436824760553,0.2727272727272727,0.36213991769547316
2019,-0.0023536401273570305,0.0032005605641491847,0.0049900577351470465,-0.7353837180027575,-0.4716659109531673,0.23076923076923078,0.639344262295082
2020,-0.009067149293335523,0.008584577930091661,0.011928344637626376,-1.0562137553148998,-0.7601347520371273,0.42441860465116277,1.4156378600823045
2021,-0.012264652024537213,0.004474406106208109,0.012224584275983053,-2.741068140310367,-1.0032776369036025,0.35714285714285715,0.9218106995884774
2022,-0.012083647834685718,0.004945328228110013,0.013453433777065316,-2.443447083249275,-0.8981831727811576,0.36283185840707965,1.0226244343891402
All,-0.004949273384761567,0.004147137356054506,0.040764635920870096,-1.1934192094062193,-0.12141095518107421,0.35452793834296725,0.5392207792207793
