Year,Ret,Std,MDD,IR,Calmar,Win_Ratio,Turnover
2015,0.05352903610984138,0.026081596143986144,0.011985347681671366,2.0523681071637183,4.4662063656026305,0.5371900826446281,1.2474226804123711
2016,0.07424215067146614,0.030969457876429105,0.015364314248533684,2.397269947949975,4.832116127704922,0.5894039735099338,1.237704918032787
2017,0.03000822015973693,0.03146260607875143,0.03323132157406761,0.9537741433314789,0.9030101343653496,0.5666666666666667,1.2295081967213115
2018,0.04494902400615172,0.019143441158856273,0.012366206078015862,2.348011709762907,3.6348273449898483,0.6,1.1111111111111112
2019,0.036656103144735046,0.01858583941424903,0.019623507155115183,1.97225975796564,1.8679690054884017,0.6040268456375839,1.221311475409836
2020,0.08118716940332518,0.02225435649857123,0.008505429419098265,3.648147247418165,9.545334562535531,0.5944055944055944,1.176954732510288
2021,0.028861608637522317,0.016195468463940293,0.007136445880164821,1.7820792712346403,4.0442552388354605,0.5906040268456376,1.2263374485596708
2022,0.03676774863800454,0.016868540708268563,0.010769644073938767,2.1796638650539495,3.414017063663045,0.6165413533834586,1.209090909090909
All,0.04827689773505064,0.02339657821931005,0.03323132157406761,2.063417021178163,1.4527528683278126,0.5879752431476569,1.2064
2015,0.050576508017285506,0.02978165585628284,0.022013560629022377,1.6982436524467364,2.297516011589971,0.5986842105263158,1.2459016393442623
2016,0.04275923404301065,0.016401559230640794,0.005812578742312224,2.607022505709665,7.356327705592711,0.5547945205479452,1.1967213114754098
2017,0.03299693650343615,0.01527142582563248,0.008206716446614859,2.160697820897123,4.020723357274866,0.5821917808219178,1.1967213114754098
2018,0.016464654061048568,0.012010603531381602,0.007585397523050763,1.3708431901885123,2.170572341266917,0.5867768595041323,0.9958847736625513
2019,0.03196373922333919,0.01241573888337554,0.006871766905305554,2.5744532422583473,4.651458593372925,0.6206896551724138,1.1885245901639343
2020,0.0504027283262591,0.019325017659957908,0.011285091586960672,2.6081594963142134,4.466310967692703,0.6418918918918919,1.2181069958847737
2021,0.020850669425497844,0.00981487050271587,0.004602933061208181,2.1243957747306252,4.52986588078362,0.5703125,1.0534979423868314
2022,0.018424782608357206,0.014506585115193881,0.013979445833147808,1.2700978529440048,1.3179909152527847,0.6190476190476191,1.1454545454545455
All,0.033243254391893906,0.017227056644712226,0.022013560629022377,1.929711794504245,1.5101261877674825,0.5971223021582733,1.1553246753246753
2015,,,0.0,,,,
2016,,,0.0,,,,
2017,,,0.0,,,,
2018,0.005140673653104057,0.00559184834571132,0.0026925847008919535,0.9193156422145654,1.9091966360059696,0.5789473684210527,0.7169811320754718
2019,0.008181997271026227,0.004263705072133354,0.0014194652972421284,1.918987625223418,5.764140403377938,0.5357142857142857,0.41176470588235303
2020,0.016890469457476857,0.007712195810180332,0.004056196281180924,2.190098627317129,4.164115414197696,0.6033057851239669,1.0
2021,0.001196267146493452,0.004500557745267944,0.004095723265405193,0.26580419899094776,0.29207714217359465,0.5753424657534246,0.6058091286307055
2022,0.004264167919786182,0.005300709384858038,0.005441575832671353,0.8044523119805754,0.7836273996558157,0.5189873417721519,0.7214611872146119
All,0.007513865429766079,0.005760581233810329,0.005441575832671353,1.3043589049079416,1.380825272093545,0.56875,0.718294051627385
