Year,Ret,Std,MDD,IR,Calmar,Win_Ratio,Turnover
2015,0.052363422902087044,0.026070877008273544,0.011985347681671366,2.0085025480910983,4.368953182907158,0.5333333333333333,1.2371134020618557
2016,0.0747355509180964,0.030960906742470134,0.015364314248533684,2.4138682868605748,4.864229519728087,0.5933333333333334,1.2295081967213115
2017,0.03530590772688153,0.031018075759987267,0.03323132157406761,1.13823655600279,1.0624286382408832,0.5743243243243243,1.2131147540983607
2018,0.04494902400615172,0.019143441158856273,0.012366206078015862,2.348011709762907,3.6348273449898483,0.6,1.1111111111111112
2019,0.03781591821662763,0.01820694097392704,0.019623507155115183,2.077005592031155,1.9270723585600396,0.6111111111111112,1.180327868852459
2020,0.08304320022598329,0.02218886859667916,0.008505429419098265,3.742561269591354,9.763551742551222,0.6071428571428571,1.1522633744855968
2021,0.029705604718599708,0.015907300524873876,0.006808247441889237,1.8674195959364535,4.3631793603489575,0.6041666666666666,1.1851851851851851
2022,0.037075460012379303,0.01678756534791813,0.010769644073938767,2.208507263799103,3.4425891661635712,0.6171875,1.1636363636363636
All,0.04944686807199393,0.023236287887855374,0.03323132157406761,2.128002041919859,1.487959723834164,0.5933273219116321,1.1829333333333332
2015,0.051883363285057583,0.029744798387253454,0.022013560629022377,1.744283575554211,2.356881931070036,0.6026490066225165,1.237704918032787
2016,0.038985842344995275,0.016307095559755232,0.006194452008961626,2.390728759890854,6.293670899151975,0.539568345323741,1.139344262295082
2017,0.022389036913915163,0.012543214810910303,0.008206716446614859,1.7849520439082966,2.7281357970093247,0.5704225352112676,1.1639344262295082
2018,0.019847353267525156,0.01181215174886231,0.006033636424205291,1.6802487547992055,3.2894513146173394,0.603448275862069,0.9547325102880659
2019,0.029593138230038413,0.01231408937496666,0.006871766905305554,2.403193393268557,4.306481671721161,0.6170212765957447,1.1557377049180326
2020,0.046390328971137526,0.019242974530953843,0.011285091586960672,2.4107670514511685,4.1107622932133845,0.6363636363636364,1.176954732510288
2021,0.01956627194162941,0.0094561454200949,0.004602933061208181,2.069159374394757,4.25082695782103,0.568,1.02880658436214
2022,0.02700558702820837,0.012080813897986858,0.008820641720239553,2.2354112277740303,3.0616351831003685,0.6293103448275862,1.0545454545454547
All,0.03202458541344125,0.016639586363680674,0.022013560629022377,1.924602253535671,1.4547662667174557,0.5955265610438024,1.1148051948051947
2015,,,0.0,,,,
2016,,,0.0,,,,
2017,,,0.0,,,,
2018,0.0028163850922933165,0.0052334689732177475,0.002831860121854324,0.538148808506586,0.9945353834952575,0.5625,0.6037735849056605
2019,0.007357743777962114,0.004206257957782319,0.0013695725666129643,1.7492374104990376,5.3722920255027145,0.5416666666666666,0.3529411764705883
2020,0.015071119030414491,0.007507752094209593,0.005044781246319907,2.0074076556201423,2.9874673042381468,0.5964912280701754,0.9421487603305785
2021,0.0008619519453632142,0.0043861994039196715,0.0036225112831439477,0.19651453707119237,0.23794320513893147,0.5806451612903226,0.5145228215767634
2022,0.0036509985858788306,0.005146468659003952,0.005799729590724834,0.7094182103861185,0.6295118640906393,0.5303030303030303,0.6027397260273972
All,0.006514513443540627,0.005598912270047205,0.005799729590724834,1.163531973592739,1.123244341246341,0.5709219858156028,0.632996632996633
