Year,Ret,Std,MDD,IR,Calmar,Win_Ratio
2015,0.024783574890550827,0.021588558388497825,0.012429635560773145,1.147995824665869,1.9939100200785973,0.48520710059171596
2016,0.04091200728584213,0.02949560545220473,0.01722669158532253,1.3870543309286112,2.3749195881988125,0.481981981981982
2017,0.02485329678542758,0.02279975432463304,0.015237767787213974,1.090068622299841,1.6310326507457351,0.4976958525345622
2018,0.016507937220715054,0.02004137637300943,0.01935956456342991,0.8236927900294809,0.8527018862758122,0.5
2019,0.007401049257027322,0.0193096997334662,0.020357130926782707,0.38328142639112867,0.3635605274459471,0.5118483412322274
2020,0.024553022765171195,0.021499433162416932,0.014902564925420636,1.1420311679701505,1.647570259753669,0.5142857142857142
2021,-0.014363295486830775,0.0165536433620275,0.01655795112788594,-0.8676818252457233,-0.8674560865589793,0.4520547945205479
2022,-0.033496184077120496,0.019574278728318784,0.025911064690800956,-1.7112346534976235,-1.2927366928697623,0.4260869565217391
All,0.014155057912629984,0.02177177200035445,0.04303286742472934,0.6501564462644353,0.3289359682430926,0.486950986632718
2015,0.02331346716369053,0.02279296199049473,0.011514285830348636,1.0228362234541024,2.024742785370357,0.4927536231884058
2016,-0.01767810917076968,0.019365942392242826,0.034521074308611954,-0.9128452833697771,-0.5120961477829655,0.45
2017,-0.023636616399949652,0.020164586298541478,0.0237132953078264,-1.1721845442303624,-0.9967664170297141,0.4861111111111111
2018,-0.014117886746389693,0.01176096420107772,0.021185852217771917,-1.2004021528350537,-0.6663827634248668,0.4729064039408867
2019,0.0034064461144606025,0.013057620672598943,0.0215054682758985,0.2608780113829571,0.15839906719344762,0.4780701754385965
2020,0.032925013841633,0.019056424536730576,0.011330906110934236,1.7277645015816696,2.905770599392808,0.5700934579439252
2021,-0.014731779667139533,0.010733333529398913,0.019222945115534018,-1.3725260308727723,-0.7663643410829288,0.4063926940639269
2022,-0.03469773745024765,0.013467973660710553,0.024569737127755897,-2.5763146204740233,-1.412214435581013,0.4444444444444444
All,-0.0038907585000019377,0.017051667491762845,0.063724334853136,-0.22817466396652689,-0.06105608648515326,0.4766009852216749
2015,0.0,0.0,0.0,,,
2016,0.0,0.0,0.0,,,
2017,0.0,0.0,0.0,,,
2018,-0.009201928833877382,0.0029906036185284608,0.009089646018381692,-3.076947000554099,-1.0123528259811905,0.273972602739726
2019,-0.008788691075529721,0.004612553741979037,0.011170767866783171,-1.9053850788866673,-0.7867580080742101,0.22842639593908629
2020,-0.02183055400116392,0.0094610575715724,0.021507974125852924,-2.307411601294774,-1.0149981524723546,0.39631336405529954
2021,-0.03075337797941809,0.0064332626423192155,0.02985127305158164,-4.780370348494179,-1.0302199817836128,0.2824074074074074
2022,-0.0441268753215989,0.006927445795217017,0.022687394653423065,-6.369862230039511,-1.9449952714134613,0.30327868852459017
All,-0.012500831317423619,0.00504357865312828,0.09105217633917595,-2.4785637693327094,-0.13729305349997475,0.3018181818181818
