Year,Ret,Std,MDD,IR,Calmar,Win_Ratio
2015,0.05179397579841232,0.020284704494532048,0.014449060475618447,2.5533512609155298,3.584591253238245,0.5833333333333334
2016,0.03718794148779141,0.01490900456241846,0.0093897160448706,2.494327594582141,3.9604969213213197,0.6183206106870229
2017,-0.013170215359606987,0.017497298981712997,0.024397956503148688,-0.7526999094758346,-0.5398081334355728,0.48148148148148145
2018,0.02485212391584165,0.015445036333705883,0.009477057005099598,1.6090686599167507,2.6223461463267275,0.5537190082644629
2019,0.01630596305521286,0.013549732560920031,0.009779206521126627,1.2034158594570576,1.6674116678061839,0.5
2020,0.03348826605708126,0.015908318209000776,0.005939287730787002,2.105078966683852,5.63843133638582,0.5299145299145299
2021,0.002708606069243605,0.009940735515341784,0.009641317026013563,0.2724754184500076,0.28093735139456816,0.49514563106796117
2022,-0.007372466719954482,0.010360317674570654,0.014196249513977577,-0.7116062413848722,-0.5193249606310157,0.45652173913043476
All,0.017639979935382435,0.015005464279316602,0.024397956503148688,1.175570419350318,0.7230105493919501,0.5303370786516854
2015,0.03179580137315672,0.016051425154601822,0.009936273499379311,1.9808709237286075,3.19997244189614,0.5652173913043478
2016,0.021479903388663412,0.010210328589964027,0.006997320439852461,2.103742617037469,3.069732703154054,0.628099173553719
2017,-0.010919393580398095,0.010307092699591762,0.015588056266874983,-1.0594057799471024,-0.7004974445468282,0.5045871559633027
2018,0.027423163335788564,0.009099300253613501,0.0047382725931554015,3.01376617667917,5.7875866777699265,0.6178861788617886
2019,0.009365683086012499,0.006852913859910967,0.003956811450468667,1.366671649092373,2.3669773511454975,0.5080645161290323
2020,0.016025771191853628,0.010798217045485522,0.005676252189066644,1.4841127127143292,2.823301477464618,0.5636363636363636
2021,0.007017818600136558,0.005893855825638004,0.0029530333021926536,1.1907007581708,2.376477974334311,0.5196078431372549
2022,-0.006727743347003511,0.007693685471583945,0.013211914418987947,-0.8744500112269901,-0.5092179023907776,0.45161290322580644
All,0.012147848562625381,0.010101054988929301,0.015588056266874983,1.2026316633202525,0.7793048956616784,0.5484949832775919
2015,,,0.0,,,
2016,,,0.0,,,
2017,,,0.0,,,
2018,0.02026359435838441,0.004287750457694842,0.0005912518945562217,4.725926697067725,34.2723542113869,0.6206896551724138
2019,0.0005146290105578416,0.0029132998114568772,0.002216056381141862,0.17664814604182014,0.23222739950897364,0.5098039215686274
2020,0.005566609434452478,0.005521046793332039,0.004286821732052304,1.0082525366703043,1.298539986589897,0.5185185185185185
2021,0.004369127150256613,0.002565223422804609,0.0013823151321137317,1.703215053868392,3.1607316224453643,0.5625
2022,-0.0010113910638115042,0.002962090705596176,0.002210720651164455,-0.3414450009585182,-0.45749383273674726,0.47560975609756095
All,0.0038259417558392816,0.0038140598506376145,0.004286821732052304,1.0031152907051737,0.8924891201406742,0.5273224043715847
