Year,Ret,Std,MDD,IR,Calmar,Win_Ratio
2015,0.046377309824231897,0.024082322734699034,0.014579725738849025,1.9257822567674967,3.1809452835354284,0.6052631578947368
2016,0.0337908290289568,0.021665097322551008,0.011034373650435358,1.559689694713913,3.062324160793992,0.5311203319502075
2017,0.058053552233353546,0.025447250094088013,0.01606784740943057,2.281329103093962,3.6130261107210075,0.5541666666666667
2018,0.025981871457785365,0.019644896552249557,0.010025093169463317,1.3225761402551217,2.591683789725445,0.5041666666666667
2019,0.013683928281808418,0.015877279160045228,0.018870670588723604,0.8618559983654931,0.7251426608011172,0.5252100840336135
2020,0.023245663012384534,0.01949841310993005,0.010819900617941691,1.1921823012635886,2.1484174238937364,0.510548523206751
2021,0.027600473777612353,0.014772831917546518,0.008223194846134874,1.868326528837692,3.3564173407109927,0.5702127659574469
2022,-0.021937104231238583,0.015913482871002197,0.018440303504349664,-1.3785231309239492,-1.1896281547678487,0.5041322314049587
All,0.02829874075284703,0.02006188575694765,0.019124501637906577,1.4105723208520848,1.4797112776395827,0.5384615384615384
2015,0.03427102122659067,0.021008520285134478,0.01075857199399366,1.6312915313145908,3.1854619038403644,0.5601659751037344
2016,0.0032706965772590184,0.01354389059410079,0.01211417131682535,0.24148870330388011,0.2699892953235979,0.5065502183406113
2017,0.016868905211141958,0.013477376177794669,0.009027554767711221,1.2516460910941385,1.8686018135804425,0.5622317596566524
2018,0.023482516846093367,0.01135662522992479,0.005278585015110915,2.067737234492582,4.448638561067098,0.5574468085106383
2019,0.014415557076815369,0.008323382200325536,0.008354828181791452,1.7319350151013804,1.7254163416828483,0.5355648535564853
2020,0.02828089169274624,0.01460859398979542,0.010565707853104067,1.9359078438692572,2.6766679607214092,0.5311203319502075
2021,0.011410891103291758,0.008078692399871214,0.007126739077290445,1.412467579960547,1.6011377685557318,0.5304347826086957
2022,-0.0017512497687025657,0.011171591229775462,0.005932347130766291,-0.15675920580006436,-0.2952035223327118,0.5158730158730159
All,0.017383185749313072,0.0133803486533782,0.01211417131682535,1.2991579068400625,1.4349463363762733,0.5388951521984217
2015,,,0.0,,,
2016,,,0.0,,,
2017,,,0.0,,,
2018,0.0014763908212211518,0.0033806783446735807,0.0012580312195150656,0.4367143722937367,1.173572482398535,0.48717948717948717
2019,0.0011896966629114318,0.0034825230387559017,0.0013442279441807647,0.34161917944882847,0.8850408653247336,0.4305555555555556
2020,0.009592421255950414,0.006994411557869255,0.006389500731810549,1.3714407819136976,1.5012786849203905,0.5394736842105263
2021,0.0015349533609146405,0.003746450473915476,0.0035275757083653714,0.4097087020372208,0.43512981373429294,0.4954954954954955
2022,0.003511251341890013,0.0045753354116152235,0.0021644915078353755,0.7674303687061145,1.6222061066903792,0.5555555555555556
All,0.00444272637720263,0.005107917524512228,0.006848263159691337,0.8697725356532418,0.6487376833519453,0.5132743362831859
