Year,Ret,Std,MDD,IR,Calmar,Win_Ratio,Turnover
2015,0.020457567558768836,0.019378494087355674,0.009731999728506135,1.0556840725883467,2.1020929027408717,0.5,1.1358024691358026
2016,0.05916952345620346,0.02247868593448857,0.011062225858631036,2.632250106996731,5.348790036684874,0.539568345323741,1.139344262295082
2017,0.037725675879469574,0.018214236589476976,0.011928585344213705,2.071219163874541,3.1626278213928756,0.5328467153284672,1.1229508196721312
2018,0.02043817633601529,0.012484390912531314,0.007656480868864612,1.6370983958456713,2.669395599109763,0.49557522123893805,0.9300411522633745
2019,0.01534648212734045,0.013374398792263703,0.010797108576807712,1.1474521109851668,1.4213510976730228,0.5384615384615384,0.959016393442623
2020,0.043058492678506914,0.015346673776736508,0.00674534146352701,2.8057215071436388,6.383441507198725,0.5555555555555556,1.0370370370370372
2021,0.02270881863132417,0.009236694807882008,0.0043843798646869825,2.458543786890729,5.17948246551977,0.5789473684210527,0.7818930041152263
2022,0.0011978955449222645,0.008998630564850632,0.009039031246653062,0.13311976042236248,0.13252477087805362,0.5507246376811594,0.6244343891402715
All,0.027829001354350444,0.015680921532427717,0.012854759406792926,1.7747044583317906,2.1648792072798018,0.5342612419700214,0.9703896103896104
2015,0.028367227221841828,0.026427254635279687,0.022312923781798943,1.073408025666515,1.2713361771522516,0.5403726708074534,1.3251028806584362
2016,0.02247096077298672,0.01146828354169469,0.004219023687970003,1.9594005233032583,5.3261044343172905,0.5308641975308642,0.6639344262295082
2017,0.004367261518470029,0.007825054553496791,0.003970869333482119,0.5581125969937711,1.0998250387252877,0.43373493975903615,0.680327868852459
2018,-0.00014640375787619873,0.005809681387830108,0.004679094342770362,-0.0251999633203431,-0.03128890916730632,0.49056603773584906,0.43621399176954734
2019,0.004863106521493418,0.007273397912724189,0.007645552083166418,0.6686154916652955,0.6360700271993117,0.532258064516129,0.5081967213114753
2020,0.02169992783411431,0.014719031909255826,0.007980245084033388,1.4742768388502956,2.7192056892501726,0.5636363636363636,0.9053497942386832
2021,0.004576670124751183,0.003566296658638013,0.0023676520673110435,1.2833116711325514,1.9329994419107932,0.5454545454545454,0.27160493827160503
2022,0.006823242123255737,0.004537787509822593,0.004522300618837294,1.5036495447365044,1.508798883213126,0.6097560975609756,0.37104072398190047
All,0.011681004750829777,0.012438861196986934,0.022312923781798943,0.93907348637826,0.5235084771973355,0.5288461538461539,0.6483116883116884
2015,0.0,0.0,0.0,,,,0.0
2016,0.0,0.0,0.0,,,,0.0
2017,0.0,0.0,0.0,,,,0.0
2018,0.0012100277777777233,0.0015149743123106531,0.0004030450000001018,0.798711745766948,3.0022150821308236,0.5,0.04938271604938271
2019,0.0015854982786887017,0.0013546230621684073,0.00025733499999991416,1.1704350257781098,6.161222836727342,0.3333333333333333,0.07377049180327866
2020,0.001104619000042238,0.004313473452225639,0.002729596434269732,0.2560857305085032,0.40468216699505044,0.4857142857142857,0.2880658436213992
2021,0.0,0.0,0.0,,,,0.0
2022,3.3551973580707695e-05,0.00010263954893193637,5.149999999987109e-05,0.326891280503942,0.6514946326367316,0.5,0.018099547511312153
All,0.0004970055756735741,0.001692199697246934,0.002729596434269732,0.29370385568686735,0.18208024066625128,0.46153846153846156,0.05402597402597409
