Year,Ret,Std,MDD,IR,Calmar,Win_Ratio
2015,0.06520091721393896,0.02592665678034846,0.010242650284603805,2.514821628038023,6.3656295394508815,0.5555555555555556
2016,0.07711510766606822,0.03095774722011798,0.01157781800558988,2.490979305366081,6.6605907632022125,0.5950920245398773
2017,0.06055273695385292,0.024252509942584634,0.013335663221202387,2.496761658781108,4.540661829070492,0.5759493670886076
2018,0.04930211252227999,0.020422893303624592,0.01173696718969075,2.414061112170135,4.200583653806654,0.5986394557823129
2019,0.040969899825129975,0.0187890571025975,0.017066979458576936,2.180519203354067,2.400536071691393,0.6125
2020,0.0562578991508968,0.020954401931639857,0.008505429419098265,2.6847771334361417,6.614351419409132,0.5771812080536913
2021,0.01991850821068868,0.016676010662695192,0.008556811330668213,1.1944408416125007,2.3277956520204377,0.5705521472392638
2022,3.0509807889331434e-06,0.01653253251256173,0.013558478945069674,0.00018454406707592744,0.00022502382467043505,0.5581395348837209
All,0.04858726304951177,0.02251493940067264,0.017066979458576936,2.158001058091243,2.8468577680917315,0.5824652777777778
2015,0.054203796798995695,0.023249002986847823,0.010968777087623338,2.3314460766192546,4.941644484703473,0.577922077922078
2016,0.01851421940659484,0.019003829829530573,0.011415463519155122,0.9742362235755808,1.621854371093037,0.5329341317365269
2017,0.010210714296379741,0.02264833577547269,0.018195759275980716,0.4508372887794063,0.5611590119164952,0.575
2018,0.01826333424129001,0.01345319947182302,0.008005719953623425,1.3575457852640593,2.2812856741290264,0.5751633986928104
2019,0.04050236168377611,0.013707424549194616,0.00981282418484375,2.954775460438762,4.127492852295615,0.6091954022988506
2020,0.06687511076620531,0.01856989506199831,0.008212566755660178,3.601264872145641,8.143021878040061,0.654320987654321
2021,0.018764604352005974,0.01088960349763084,0.006101010568233756,1.72316690466172,3.0756551135492183,0.5477707006369427
2022,0.0005161169154169463,0.015195143767616959,0.012717851841239303,0.03396591195911327,0.040582082718039654,0.5730337078651685
All,0.030208568221626778,0.017757852206346972,0.018195759275980716,1.7011386214167104,1.6601982782605589,0.5814144736842105
2015,,,0.0,,,
2016,,,0.0,,,
2017,,,0.0,,,
2018,-0.0019370077780810715,0.004785789139579638,0.00196165185582986,-0.4047415633216154,-0.9874370787683102,0.5555555555555556
2019,0.02153217133936522,0.005323318970132291,0.0010277795283769597,4.044877164073097,20.95018507847516,0.6229508196721312
2020,0.012792755899525743,0.008902657289910434,0.005211050636216741,1.4369592676586618,2.454928342207278,0.5802469135802469
2021,0.0035849028935360126,0.006212198989495536,0.006942621668883042,0.5770747040778753,0.5163615510843135,0.5864197530864198
2022,-0.007640332055441049,0.007264292180960022,0.007348570108795416,-1.0517655216934476,-1.0397032269306958,0.47191011235955055
All,0.00679589629751934,0.007154216293173274,0.007348570108795416,0.9499148500729769,0.9247916529210782,0.5668662674650699
