,signal,ret,cumsum
2016-12-15,-0.014380182638815908,0.00010441560256602145,0.00010441560256602145
2016-12-19,-0.012307531161621421,-0.011125318347833368,-0.011020902745267347
2015-04-16,-0.01162971003256319,7.232586418104425e-05,-0.010948576881086303
2017-02-03,-0.009918319719953161,-0.0007608723413002894,-0.011709449222386592
2015-06-01,-0.007004792752936306,0.0030146734729723512,-0.00869477574941424
2015-11-09,-0.006843718079673322,-0.0029418512872640967,-0.011636627036678338
2015-11-23,-0.006818991399928587,0.0014696068058066558,-0.010167020230871682
2015-07-31,-0.006295525494276699,-0.003383919268320712,-0.013550939499192394
2015-05-26,-0.006010051292678953,-0.0039291576739882705,-0.017480097173180664
2020-07-06,-0.005863486017840924,-0.007830600217965111,-0.025310697391145776
2017-02-21,-0.005756148613291434,-0.0038891821565363305,-0.029199879547682106
2017-11-13,-0.005714285714285783,-0.0025090052755306624,-0.03170888482321277
2021-08-09,-0.005577689243028039,-0.0017692734674441546,-0.03347815829065692
2015-05-21,-0.0054695562435501666,0.00068168563183435,-0.03279647265882257
2015-06-29,-0.0054204820545207255,-0.00023943789889124822,-0.03303591055771382
2015-06-10,-0.005396343060722009,-0.00046326958515063854,-0.03349918014286446
2016-01-18,-0.005367259715734041,0.0008721433651288635,-0.032627036777735596
2016-01-14,-0.0053020167484268965,-0.0006362835977483661,-0.03326332037548396
2019-05-27,-0.0051719679337987046,0.0005623570148998169,-0.032700963360584145
2018-07-20,-0.005078509612893134,-0.0010388771244322914,-0.03373984048501644
2016-03-01,-0.005067737079779366,0.000490068888465256,-0.03324977159655118
2015-05-04,-0.005004596057603838,-0.0019006143846499457,-0.03515038598120113
2020-12-31,-0.004982713036404407,-0.00017480145630965893,-0.035325187437510785
2016-12-14,-0.00496098392847899,-0.011100546488697405,-0.04642573392620819
2020-04-30,-0.004933733191448408,-0.0011939898469383037,-0.047619723773146494
2015-08-11,-0.004916060875477246,-0.0017085979841061638,-0.04932832175725266
2020-05-15,-0.004844290657439521,0.0005681715154937095,-0.04876015024175895
2016-12-06,-0.004753629114700342,0.0017767693248973426,-0.046983380916861606
2020-03-10,-0.004667845911949686,-0.0028195672873584376,-0.04980294820422004
2016-01-25,-0.004640718562874291,-9.884547204852545e-06,-0.049812832751424896
2018-04-03,-0.004639010344459682,0.001117420685267101,-0.048695412066157795
2017-03-08,-0.004623791509037356,-0.0019101307131877965,-0.05060554277934559
2017-10-30,-0.004566455356183496,0.0007890716213667659,-0.049816471157978826
2020-05-18,-0.0045067353407288735,-0.002998974377264263,-0.05281544553524309
2020-06-01,-0.004448838358873108,-0.0016322526631800116,-0.0544476981984231
2017-11-07,-0.004407180479415351,0.000926834038465385,-0.053520864159957715
2016-01-04,-0.0044000000000000705,-0.0012990564825137163,-0.05481992064247143
2016-11-29,-0.004319437468608633,-0.0041189489680888425,-0.058938869610560274
2016-02-02,-0.004285429539565566,-0.0026881250993784356,-0.06162699470993871
2016-07-08,-0.004219199841159593,0.0005200801341991301,-0.06110691457573958
2020-03-02,-0.0041993972629811305,-0.0027847048410906128,-0.06389161941683019
2016-03-07,-0.004141832508333998,-0.0019170595742822316,-0.06580867899111242
2015-05-18,-0.004115226337448652,-0.0025714327817155658,-0.06838011177282799
2016-04-13,-0.004061982849405621,0.0008198791827294105,-0.06756023259009858
2017-03-01,-0.004022988505747227,-0.002707137996079023,-0.0702673705861776
2022-03-01,-0.003989030167040775,-0.0015777282437877682,-0.07184509882996537
2020-07-13,-0.003955776447915671,0.0027056695986358292,-0.06913942923132954
2015-08-19,-0.003873534338358464,0.0003541401608058159,-0.06878528907052373
2018-08-09,-0.0038678653564708787,0.00031182217226977116,-0.06847346689825395
2017-04-10,-0.0038621968175498456,-0.0007787820532922929,-0.06925224895154625
2020-03-17,-0.003861386138613865,-0.0032618678479907626,-0.07251411679953701
2020-12-11,-0.003845365053322225,-0.0011670551168524446,-0.07368117191638945
2017-05-22,-0.003808717731696998,-0.0008999951960140251,-0.07458116711240348
2017-06-20,-0.0037995107479309453,-0.0004816571159796945,-0.07506282422838317
2016-11-14,-0.0037507501500300133,0.000666709749255423,-0.07439611447912775
2017-10-27,-0.0037333333333334773,-0.004837357781927398,-0.07923347226105515
2021-01-11,-0.0037282941777324607,0.0016064388576917388,-0.07762703340336341
2019-01-14,-0.0037191766863664544,-0.0005449253884620697,-0.07817195879182548
2016-02-16,-0.003645625249700468,-0.0011074586698724964,-0.07927941746169798
2018-06-04,-0.0036392405063290223,0.0002119505626700935,-0.07906746689902788
2018-04-23,-0.003631196716135099,0.0011143985788888422,-0.07795306832013904
2021-01-26,-0.003616912888436241,-1.4522228279689742e-05,-0.07796759054841873
2017-12-08,-0.0036040882194728896,-0.00013909963924008117,-0.07810669018765881
2020-05-25,-0.003594288527818734,-0.0017161623498544998,-0.07982285253751331
2018-06-12,-0.003591422837224023,0.00024043392809480757,-0.0795824186094185
2017-07-31,-0.0035797009896822996,-0.0007311950715583881,-0.08031361368097689
2016-12-23,-0.0035622096024778838,-0.003855887862430185,-0.08416950154340708
2017-04-24,-0.0035531403490438596,9.231981252755261e-05,-0.08407718173087952
2018-12-13,-0.0035497479164522394,-0.0023195327605100013,-0.08639671449138953
2015-07-14,-0.003548504931378038,-0.00237703601415018,-0.0887737505055397
2015-07-16,-0.003497598663604218,0.001045478306325176,-0.08772827219921453
2017-10-25,-0.003455241335317938,-0.0019999788283417974,-0.08972825102755633
2021-12-07,-0.0034450047431224817,-0.0004288326452183133,-0.09015708367277464
2019-04-01,-0.0034288638689867756,-0.0022291538265919453,-0.09238623749936659
2015-06-19,-0.0034120734908137385,-0.0006565946274125212,-0.09304283212677911
2020-04-10,-0.003320474632550474,-0.0008411652854922735,-0.09388399741227138
2020-04-09,-0.0033154558751828933,0.0009989530056362383,-0.09288504440663514
2019-01-23,-0.0033114269702988475,-0.002189371338626289,-0.09507441574526143
2017-10-09,-0.0033100404560502117,-0.0008629067516081612,-0.09593732249686959
2015-04-20,-0.0032955715756951554,0.002494343721423542,-0.09344297877544605
2017-12-11,-0.003291248516240519,-0.001245710875727335,-0.09468868965117339
2018-07-06,-0.0032877570191003347,0.00035292850239043716,-0.09433576114878295
