,ADAUSDT,BNBUSDT,BTCUSDT,BTTUSDT,DASHUSDT,DOGEUSDT,EOSUSDT,ETCUSDT,ETHUSDT,LINKUSDT,LTCUSDT,NEOUSDT,QTUMUSDT,TRXUSDT,XLMUSDT,XMRUSDT,XRPUSDT,ZECUSDT
17021,0.5239,321.0,23824.82,,54.6,0.07018,1.29,41.55,1864.5,8.82,61.06,11.61,4.144,0.0699,0.1241,156.6,0.3763,79.1
17022,0.5278,322.7,23906.32,,55.1,0.07091,1.302,41.48,1880.3,8.939,61.73,11.75,4.213,0.07041,0.1247,158.0,0.3775,79.5
17023,0.5328,324.1,24011.51,,55.5,0.07113,1.309,41.61,1903.1,9.013,61.97,11.76,4.222,0.07052,0.1254,159.0,0.3763,79.2
17024,0.5318,323.8,24010.11,,55.6,0.07138,1.311,41.56,1903.98,9.052,61.79,11.8,4.233,0.07066,0.1255,161.4,0.378,78.8
17025,0.5287,323.4,23931.99,,55.3,0.07112,1.305,41.64,1890.94,9.007,61.47,11.76,4.217,0.07047,0.1258,160.2,0.3766,78.1
17026,0.5288,322.8,23949.96,,55.3,0.07109,1.304,41.95,1893.57,8.989,61.87,11.78,4.217,0.07026,0.1255,159.3,0.3774,78.4
17027,0.5297,323.5,23952.26,,55.0,0.07091,1.301,41.82,1891.78,8.936,61.7,11.74,4.207,0.07002,0.1254,160.7,0.3762,78.4
17028,0.533,323.4,23960.99,,55.2,0.07104,1.304,41.66,1888.44,9.049,61.8,11.76,4.208,0.07035,0.1257,161.2,0.3756,79.0
17029,0.5335,323.8,23920.97,,55.1,0.07111,1.302,42.48,1887.38,9.105,61.81,11.76,4.224,0.07013,0.1255,161.8,0.3767,78.8
17030,0.5336,326.2,23983.42,,55.6,0.07174,1.304,42.82,1892.99,9.24,61.99,11.85,4.232,0.07015,0.1258,163.7,0.3771,78.9
17031,0.5255,319.7,23747.98,,54.7,0.07035,1.29,41.83,1873.0,9.041,61.15,11.62,4.173,0.06975,0.1243,162.2,0.3732,77.4
17032,0.5232,319.1,23672.99,,54.0,0.07006,1.273,41.67,1868.61,9.058,60.76,11.59,4.15,0.0695,0.1234,160.5,0.3713,77.1
