Fut_code,Trade_DT,amount,close,high,low,open,position,position_range,twap,t_vwap,volume
CJ.CZC,3/2/2020 12:00,2391843250,10580,10700,10350,10405,27065,2510,10554.51852,52685.12506,45343
CJ.CZC,3/2/2020 16:00,369397525,10580,10590,10555,10585,26018,1038,10578,52796.13845,6978
CS.DCE,3/2/2020 12:00,1311972320,2249,2255,2231,2231,100662,9157,2246.037037,22459.69321,58434
CS.DCE,3/2/2020 16:00,801780360,2262,2262,2248,2249,99331,3646,2254.077778,22540.22173,35555
CU.SHF,3/2/2020 12:00,13530210650,45160,45240,44460,44530,123909,4008,45008.07407,225038.6038,60221
CU.SHF,3/2/2020 16:00,4672533350,45230,45300,45150,45160,123663,612,45247.55556,226237.2968,20656
EB.DCE,3/2/2020 12:00,6809310,6650,6666,6601,6601,1462,152,6619.363636,33096.81818,205
EB.DCE,3/2/2020 16:00,397750,6625,6650,6625,6650,1461,4,6633.333333,33166.66667,12
EG.DCE,3/2/2020 12:00,5471777570,4375,4389,4320,4320,147107,1970,4366.02963,43658.57623,125415
EG.DCE,3/2/2020 16:00,2039618150,4367,4381,4360,4377,148552,3206,4369.8,43698.1235,46680
FG.CZC,3/2/2020 12:00,3807119360,1418,1428,1382,1391,161674,13916,1410.148148,28142.56819,135196
FG.CZC,3/2/2020 16:00,724421900,1412,1419,1410,1418,159597,3017,1414.355556,28419.80208,25611
FU.SHF,3/2/2020 12:00,26661093280,2046,2051,1945,1945,248363,12454,2030.8,20306.98324,1316472
FU.SHF,3/2/2020 16:00,9453653040,2053,2061,2036,2043,237895,14703,2046.466667,20464.03498,461724
HC.SHF,3/2/2020 12:00,5741854480,3467,3486,3372,3410,243982,5151,3429.548148,34295.05584,167540
HC.SHF,3/2/2020 16:00,1963900070,3469,3480,3460,3467,245960,4457,3469.122222,34692.41166,56612
IC.CFE,3/2/2020 12:00,97359086160,5614.6,5620.4,5463,5463,106826,17544,5539.993333,1107886.767,87937
IC.CFE,3/2/2020 16:00,56748111800,5598.6,5658.6,5581.2,5610.8,119922,12849,5617.865,1123548.973,50506
I.DCE,3/2/2020 12:00,61673185850,650.5,652,616,616,703433,42648,635.9481481,63591.0727,970195
I.DCE,3/2/2020 16:00,26458028750,653,653.5,643.5,650,711200,16902,647.6722222,64765.95695,408123
IF.CFE,3/2/2020 12:00,83979405300,4064,4065,3965.2,3967.6,87332,15824,4015.411667,1204508.762,69767
IF.CFE,3/2/2020 16:00,54173152800,4056.4,4095,4042.4,4064,99295,12004,4066.221667,1219873.444,44402
IH.CFE,3/2/2020 12:00,22411653780,2908,2909.6,2843.6,2843.6,40855,6080,2880.675,864126.235,25981
IH.CFE,3/2/2020 16:00,12467626140,2905.4,2924.8,2893.6,2908.2,44430,3550,2909.053333,872698.9125,14283
J.DCE,3/2/2020 12:00,21313311800,1848.5,1860.5,1788,1788,116366,15546,1819.92963,181989.3917,116998
J.DCE,3/2/2020 16:00,6345156450,1838,1848.5,1832,1847,120025,3819,1838.461111,183853.2489,34511
JD.DCE,3/2/2020 12:00,20685669870,3429,3459,3302,3302,223197,8323,3404.125926,34038.98854,609458
JD.DCE,3/2/2020 16:00,6936527020,3461,3464,3422,3429,218807,10282,3437,34366.97747,201638
JM.DCE,3/2/2020 12:00,4727362290,1272.5,1278,1235,1235,101960,12459,1258.222222,75487.96813,62624
JM.DCE,3/2/2020 16:00,1595984220,1277.5,1278,1269,1272,111091,8781,1274.116667,76449.10463,20876
L.DCE,3/2/2020 12:00,5212199925,6850,6870,6705,6725,291762,9566,6821.037037,34103.71161,153198
L.DCE,3/2/2020 16:00,1786371675,6875,6885,6845,6850,290232,2123,6865.611111,34328.12623,52034
MA.CZC,3/2/2020 12:00,15107794080,2050,2056,2002,2002,738888,61191,2037.074074,20369.84421,742546
MA.CZC,3/2/2020 16:00,6449191890,2045,2064,2040,2050,781431,44858,2049.722222,20441.37046,314471
M.DCE,3/2/2020 12:00,27749530800,2705,2718,2632,2634,1250209,71789,2689.088889,26888.81603,1032753
M.DCE,3/2/2020 16:00,12199592560,2719,2735,2705,2705,1266926,34108,2723.2,27231.96409,447955
NI.SHF,3/2/2020 12:00,10482004900,101840,102130,98520,98660,67274,14566,100622.2963,100622.6039,104214
NI.SHF,3/2/2020 16:00,3946239450,102000,102200,101510,101700,63619,3712,101907.7778,101911.8031,38722
OI.CZC,3/2/2020 12:00,11834522590,7410,7417,7268,7268,96691,2607,7367.444444,73688.14544,160608
OI.CZC,3/2/2020 16:00,4603148430,7404,7415,7366,7409,95689,2018,7385.655556,73885.93226,62280
PB.SHF,3/2/2020 12:00,1295116575,14620,14630,14450,14450,24190,650,14586.62963,72933.64253,17779
PB.SHF,3/2/2020 16:00,485200200,14640,14660,14595,14610,24227,192,14620.88889,73104.09599,6636
P.DCE,3/2/2020 12:00,31927185440,5054,5062,4948,4952,344389,14681,5023.614815,50234.18377,636561
P.DCE,3/2/2020 16:00,14099885480,5034,5068,5018,5056,342235,12712,5041.333333,50411.01522,279685
PP.DCE,3/2/2020 12:00,9611098070,6949,6979,6763,6763,358310,8522,6922.4,34610.50035,278182
PP.DCE,3/2/2020 16:00,3749361050,6982,6997,6947,6947,354844,7527,6979.9,34899.78908,107455
RB.SHF,3/2/2020 12:00,46940684010,3432,3445,3321,3321,1476055,36027,3389.562963,33895.22432,1384136
RB.SHF,3/2/2020 16:00,14486293510,3422,3438,3417,3431,1466714,16491,3426.988889,34270.89711,422723
RM.CZC,3/2/2020 12:00,10968267440,2338,2351,2251,2251,241241,27971,2315.540741,23181.50832,473996
RM.CZC,3/2/2020 16:00,7373998160,2370,2389,2339,2339,268419,34673,2366.755556,23642.59583,311540
RU.SHF,3/2/2020 12:00,18855650200,11020,11075,10565,10575,140294,1951,10925.62963,109245.9865,172855
RU.SHF,3/2/2020 16:00,5414835150,10990,11045,10965,11015,138984,2203,11013.5,110134.9209,49186
SA.CZC,3/2/2020 12:00,310230200,1586,1590,1563,1564,23091,676,1582.42963,31670.90918,9805
SA.CZC,3/2/2020 16:00,176564680,1587,1592,1581,1586,24188,1218,1586.247191,31723.05251,5561
SF.CZC,3/2/2020 12:00,704250500,5712,5728,5688,5702,59610,982,5714.059259,28574.83104,24650
SF.CZC,3/2/2020 16:00,353925160,5710,5726,5702,5714,60422,1583,5711.133333,28552.57913,12388
SM.CZC,3/2/2020 12:00,1430533440,6084,6112,6012,6012,79570,2593,6081.259259,30391.45441,47088
SM.CZC,3/2/2020 16:00,506584960,6088,6106,6074,6086,80054,1134,6087.222222,30448.28995,16633
SN.SHF,3/2/2020 12:00,0,,,,,0,0,,,0
SN.SHF,3/2/2020 16:00,0,,,,,0,0,,,0
SP.SHF,3/2/2020 12:00,1834218380,4516,4526,4462,4462,87451,1601,4512.992593,45127.88173,40694
SP.SHF,3/2/2020 16:00,1066365480,4492,4516,4488,4516,87702,896,4503.777778,45037.36359,23681
SR.CZC,3/2/2020 12:00,13985814500,5730,5748,5687,5690,226258,4067,5722.185185,57218.27104,244550
SR.CZC,3/2/2020 16:00,4617515750,5750,5756,5730,5730,223594,5959,5740.311111,57389.43114,80399
SS.SHF,3/2/2020 12:00,0,,,,,6,0,,,0
SS.SHF,3/2/2020 16:00,0,,,,,6,0,,,0
TA.CZC,3/2/2020 12:00,9172061430,4318,4324,4242,4252,845135,18284,4291.896296,21461.73257,428001
TA.CZC,3/2/2020 16:00,2605637230,4302,4322,4296,4316,847983,5591,4311.244444,21551.47115,120820
T.CFE,3/2/2020 12:00,83017800,101.165,101.415,101.165,101.415,221,100,101.249,1012490,82
T.CFE,3/2/2020 16:00,63773200,101.195,101.285,101.185,101.22,214,22,101.2183333,1012247.333,63
TF.CFE,3/2/2020 12:00,66202950,101.85,101.92,101.845,101.92,2229,71,101.863,1018629.542,65
TF.CFE,3/2/2020 16:00,13240700,101.845,101.88,101.845,101.845,2228,1,101.85625,1018562.5,13
TS.CFE,3/2/2020 12:00,0,,,,,353,0,,,0
TS.CFE,3/2/2020 16:00,0,,,,,353,0,,,0
UR.CZC,3/2/2020 12:00,1396158800,1772,1783,1762,1762,67074,4644,1772.311111,35440.25733,39395
UR.CZC,3/2/2020 16:00,699443840,1767,1779,1764,1773,67144,1044,1772.6,35600.3039,19736
V.DCE,3/2/2020 12:00,2755848125,6275,6285,6210,6210,202285,13185,6268.740741,31343.17793,87992
V.DCE,3/2/2020 16:00,734670575,6260,6285,6260,6275,201815,3220,6272.888889,31365.82123,23429
Y.DCE,3/2/2020 12:00,16711952760,5688,5692,5592,5600,358688,7386,5650.059259,56496.85003,296112
Y.DCE,3/2/2020 16:00,5832403340,5678,5688,5664,5686,355134,5090,5674.622222,56745.77415,102767
ZC.CZC,3/2/2020 12:00,1958283600,545.8,546.6,542.8,545,109688,798,544.442963,54469.95853,35945
ZC.CZC,3/2/2020 16:00,1175297040,544.2,546.4,543.8,545.8,110229,2200,544.8244444,54480,21573
ZN.SHF,3/2/2020 12:00,5799008325,16120,16145,15945,15995,78347,5831,16049.40741,80251.47648,72290
ZN.SHF,3/2/2020 16:00,2684679150,16160,16225,16095,16115,76236,2171,16168.44444,80841.31897,33208
A.DCE,6/1/2020 8:00,4975377520,4618,4623,4551,4551,125641,5948,4596.275,45962.34277,108163
A.DCE,6/1/2020 12:00,7018611320,4548,4647,4524,4622,114591,12133,4556.474074,45568.19187,153766
A.DCE,6/1/2020 16:00,2551547570,4544,4577,4533,4548,113442,3298,4554.411111,45543.63361,56011
AL.SHF,6/1/2020 8:00,1652745775,13220,13250,13185,13245,149584,2008,13221.03896,66105.06315,25007
AL.SHF,6/1/2020 12:00,3052779300,13135,13260,13090,13230,148486,2843,13135.51852,65677.72287,46430
AL.SHF,6/1/2020 16:00,908673075,13160,13170,13110,13140,147941,1009,13140.22222,65700.12352,13828
AP.CZC,6/1/2020 12:00,10700546110,8829,8949,8768,8768,72982,4800,8857.377778,88645.13471,120589
AP.CZC,6/1/2020 16:00,7769749700,8702,8849,8681,8830,83362,12789,8753.022222,88067.72085,88579
BU.SHF,6/1/2020 8:00,425310580,2474,2486,2460,2464,92983,1595,2472.433333,24725.15823,17200
BU.SHF,6/1/2020 12:00,910837420,2552,2562,2484,2498,95922,3822,2538.192593,25381.99021,35940
BU.SHF,6/1/2020 16:00,593292100,2598,2602,2544,2550,97648,1754,2566.155556,25659.8363,23087
C.DCE,6/1/2020 8:00,2738617260,2080,2084,2073,2078,709042,4995,2078.783333,20786.88135,131731
C.DCE,6/1/2020 12:00,4495648390,2068,2080,2062,2080,684766,26924,2067.459259,20675.30371,217307
C.DCE,6/1/2020 16:00,1431760530,2069,2073,2065,2069,686908,5358,2069.055556,20691.75064,69207
CF.CZC,6/1/2020 8:00,10046738350,11440,11475,11400,11460,411645,10200,11438.70833,57247.77166,175608
CF.CZC,6/1/2020 12:00,14218250000,11670,11690,11475,11475,383045,26641,11644.11111,58257.06429,244895
CF.CZC,6/1/2020 16:00,5853399000,11695,11720,11655,11670,375038,9401,11687.77778,59205.67436,100092
CJ.CZC,6/1/2020 12:00,763013500,9930,9945,9850,9865,18989,1409,9899.444444,49473.86159,15430
CJ.CZC,6/1/2020 16:00,387042000,9955,9975,9910,9925,17464,1529,9942.222222,49761.44053,7780
CS.DCE,6/1/2020 8:00,440432800,2419,2421,2412,2421,77007,2058,2416.6,24166.15794,18225
CS.DCE,6/1/2020 12:00,725602310,2410,2418,2400,2417,76008,1958,2406.911111,24068.62295,30150
CS.DCE,6/1/2020 16:00,298833280,2412,2414,2404,2410,74899,1280,2409.577778,24095.3446,12402
CU.SHF,6/1/2020 8:00,9925429050,44150,44170,43900,44080,102520,1278,44010.04184,220050.6623,45117
