,Unnamed: 0,tickers,date,tick_len,min_len,na_count,non_continuous_trading_time_count,other_trading_time_count,Exchg,Fut_code
66,0,BU2310.SHF,2022-12-30,8558,345,543,2,0,SHF,BU.SHF
67,0,BU2311.SHF,2022-12-30,5479,345,2447,2,0,SHF,BU.SHF
68,0,BU2312.SHF,2022-12-30,3395,345,481,2,0,SHF,BU.SHF
69,0,BU2403.SHF,2022-12-30,2806,345,541,2,0,SHF,BU.SHF
70,0,BU2406.SHF,2022-12-30,2536,345,0,2,0,SHF,BU.SHF
71,0,BU2409.SHF,2022-12-30,2721,345,699,3,0,SHF,BU.SHF
72,0,BU2412.SHF,2022-12-30,2434,345,958,2,0,SHF,BU.SHF
73,0,C2301.DCE,2022-12-30,2997,345,1,2,0,DCE,C.DCE
74,0,C2303.DCE,2022-12-30,27974,345,0,2,0,DCE,C.DCE
75,0,C2305.DCE,2022-12-30,14034,345,0,2,0,DCE,C.DCE
76,0,C2307.DCE,2022-12-30,8815,345,2,2,0,DCE,C.DCE
77,0,C2309.DCE,2022-12-30,3688,345,5,2,0,DCE,C.DCE
78,0,C2311.DCE,2022-12-30,7512,345,9,2,0,DCE,C.DCE
79,0,CF2301.CZC,2022-12-30,6485,345,0,1,0,CZC,CF.CZC
80,0,CF2303.CZC,2022-12-30,21396,345,0,1,0,CZC,CF.CZC
81,0,CF2305.CZC,2022-12-30,35831,345,0,1,0,CZC,CF.CZC
82,0,CF2307.CZC,2022-12-30,18339,345,0,1,0,CZC,CF.CZC
83,0,CF2309.CZC,2022-12-30,15376,345,0,1,0,CZC,CF.CZC
84,0,CF2311.CZC,2022-12-30,6572,345,38,1,0,CZC,CF.CZC
85,0,CJ2301.CZC,2022-12-30,1569,225,76,1,0,CZC,CJ.CZC
86,0,CJ2303.CZC,2022-12-30,2407,225,81,1,0,CZC,CJ.CZC
87,0,CJ2305.CZC,2022-12-30,5453,225,0,1,0,CZC,CJ.CZC
88,0,CJ2307.CZC,2022-12-30,1440,225,10,1,0,CZC,CJ.CZC
89,0,CJ2309.CZC,2022-12-30,1726,225,0,1,0,CZC,CJ.CZC
90,0,CJ2312.CZC,2022-12-30,1343,225,59,1,0,CZC,CJ.CZC
91,0,CS2301.DCE,2022-12-30,3122,345,0,2,0,DCE,CS.DCE
92,0,CS2303.DCE,2022-12-30,21757,345,0,2,0,DCE,CS.DCE
93,0,CS2305.DCE,2022-12-30,13619,345,0,2,0,DCE,CS.DCE
94,0,CS2307.DCE,2022-12-30,5096,345,0,2,0,DCE,CS.DCE
95,0,CS2309.DCE,2022-12-30,6199,345,3,2,0,DCE,CS.DCE
96,0,CS2311.DCE,2022-12-30,1382,345,58,2,0,DCE,CS.DCE
97,0,CU2301.SHF,2022-12-30,12617,465,0,2,0,SHF,CU.SHF
98,0,CU2302.SHF,2022-12-30,25164,465,0,3,0,SHF,CU.SHF
99,0,CU2303.SHF,2022-12-30,25072,465,0,2,0,SHF,CU.SHF
