,tickers,normalize_method,normed_method,outlier_method,period,mean,median,range,IQR,IC,IC_2sigma,count_2sigma,normal_test_p_value
1,JM.DCE,None,ts_zscore,None,256,0.3705188588314977,0.314916876408884,7.92904576594083,2.158012459913736,0.0007258802732093389,-0.08107103449613612,77,3.986599939054258e-09
0,JM.DCE,None,minmax,None,512,0.5486083097866441,0.5645221012868071,1.0,0.32323361354059993,0.005415327489761106,0.03914543106046584,71,1.5301070503975658e-16
1,JM.DCE,None,ts_zscore,None,512,0.6498393112254219,0.6683061533873522,8.953984200137224,1.8066066642898173,0.004353852999957995,-0.032497137921564806,91,2.721555203422099e-09
0,JM.DCE,None,minmax,None,1024,0.5937699529388895,0.636443661971831,1.0,0.25328525471956886,0.0023505449559164332,-0.1637783872549467,126,3.927125539149916e-26
1,JM.DCE,None,ts_zscore,None,1024,1.0538038628297561,0.9790683409021987,10.339060475956439,1.448841735230711,0.005860562661018948,-0.00015961764516647187,126,1.6625643752407437e-18
0,L.DCE,None,minmax,None,20,0.48582462353477884,0.4690382205808925,1.0,0.6759864815491414,-0.01364319771353546,,0,9.622598959883153e-33
1,L.DCE,None,ts_zscore,None,20,-0.03106256408287657,-0.12201311691640493,6.801794035532094,2.097266309568447,-0.019035662686502725,-0.40568435981948003,30,2.702951220813233e-16
0,L.DCE,None,minmax,None,40,0.4750091953438286,0.43516908212560385,1.0,0.5963284607707,-0.013596444951574251,,0,1.4764073629378716e-29
1,L.DCE,None,ts_zscore,None,40,-0.05007454637198949,-0.18037826987094405,8.394648953587488,2.1124595090439,-0.02199983251556486,-0.24128014554076183,46,3.200392696082327e-13
0,L.DCE,None,minmax,None,60,0.4665551102169349,0.443713937569437,1.0,0.5483338527596797,-0.013905341478056553,,0,4.916126850112914e-27
1,L.DCE,None,ts_zscore,None,60,-0.071715702830823,-0.13585112520030435,8.668281973622587,2.0300358353479755,-0.021742415506092877,-0.13154654444897046,54,7.66951124830939e-09
0,L.DCE,None,minmax,None,90,0.45904701682492705,0.43514114865804476,1.0,0.514348515553941,-0.009201152616178074,,0,2.7179758755130775e-26
1,L.DCE,None,ts_zscore,None,90,-0.09978629761721966,-0.1491501935638119,7.9991531280470545,2.0208209441435834,-0.02073489064925048,-0.082667361197317,62,2.4650275918247644e-06
0,L.DCE,None,minmax,None,180,0.4586403079050699,0.4515478915968377,1.0,0.5026736504601359,-0.016206634204467052,,0,5.030755713642098e-24
1,L.DCE,None,ts_zscore,None,180,-0.13934088138263154,-0.06842054383526719,8.249047716365641,2.0732871405013347,-0.029747109977643408,-0.012650208396865844,60,6.0430903336961e-11
0,L.DCE,None,minmax,None,256,0.46992047290272543,0.4740740740740741,1.0,0.451999384252547,-0.01377233264729935,,0,3.1193081873570542e-21
1,L.DCE,None,ts_zscore,None,256,-0.10604619672551553,0.049923888182426754,7.445830871891539,2.0467959546154675,-0.0313455730873651,-0.14836018110573732,55,5.4636208751679405e-12
0,L.DCE,None,minmax,None,512,0.4916119073702979,0.5263286038116027,1.0,0.48175814856587373,-0.01718163265765559,,0,1.3404556229406341e-24
1,L.DCE,None,ts_zscore,None,512,-0.10162742786002522,0.040017448636848765,6.4516332887272405,2.144780934254155,-0.029194628568578865,-0.1459764024604169,38,2.947410289521193e-17
0,L.DCE,None,minmax,None,1024,0.5087884955915524,0.5532544378698225,1.0,0.3433178196995545,-0.03744541209438968,0.08037925769187786,64,1.1636532903738776e-20
1,L.DCE,None,ts_zscore,None,1024,-0.2551271547327231,-0.04577080270042133,6.26529716355688,1.683254123100566,-0.041488712610428025,-0.15705340676261745,51,9.211030138763735e-16
