,BTCUSDT,ETHUSDT,APTUSDT,SOLUSDT,DOGEUSDT,XRPUSDT,GALAUSDT,ETCUSDT,BNBUSDT,GMTUSDT,LTCUSDT,MATICUSDT
5313,-0.020215214138850524,-0.5470903054909477,,-0.32595015478240585,-0.06620651221758078,0.10229218695468945,-0.29121471911780317,-0.2072339449166748,-0.026772798063961933,-0.1200228024623543,-0.12505940113035452,-0.7265695210055185
5314,-0.02095638831478186,-0.5470903054909477,,-0.3239395993664722,-0.06854808985551442,0.1020166289497294,-0.28468970656970216,-0.20826672199989482,-0.03521082544067311,-0.12109300794180633,-0.12676268847492955,-0.7265695210055185
5315,-0.01861843981037503,-0.5470903054909477,,-0.3314943714641805,-0.06224032984377903,0.09733085166196764,-0.2954677463137235,-0.19422819767733523,-0.03483261061465193,-0.11359354361782936,-0.12010853389379994,-0.7265695210055185
5316,0.01861493521072144,-0.5470903054909477,,-0.38423118726023153,-0.02885840564552833,0.0657807830748619,-0.2954677463137235,-0.1531786162220874,0.0035101745145227348,-0.08116053638686382,-0.0758712457582067,-0.7265695210055185
5317,0.020429802099622307,-0.5470903054909477,,-0.38233185202756304,-0.025472878772908936,0.0649829107344363,-0.2954677463137235,-0.1447254437052068,0.016132682631159634,-0.08322048076836552,-0.07505968919271422,-0.7209763188973115
5318,0.019805119646535974,-0.5470903054909477,,-0.38233185202756304,-0.02915299200716215,0.061262474911954246,-0.30566369979468566,-0.14628493842891643,0.010139814144658477,-0.07145456065277045,-0.06808596230332076,-0.7199066857814702
5319,0.02037185243202766,-0.5506759736674647,,-0.38233185202756304,-0.031973468667717886,0.06285103726302654,-0.30045947333198264,-0.1394078947791526,0.016782056422679603,-0.0771670976312464,-0.06325426637805087,-0.7252491368980425
5320,0.02178948781620682,-0.5470229608846421,,-0.3847099733117484,-0.026348380775719438,0.06205549231473684,-0.30426416578600934,-0.1421914716754643,0.015762566167807135,-0.08116832877929192,-0.06212139698170838,-0.7289015163158102
5321,0.023680959907598664,-0.5487714705533541,,-0.3856634894023324,-0.026065535350744296,0.06232046316794293,-0.306948941528271,-0.1405631860276394,0.018013736776523626,-0.07406078860623877,-0.06357959529667923,-0.7257748316796916
5322,0.03695472236874575,-0.537747814146706,,-0.37042176518228,-0.014889980109550338,0.06894649020213328,-0.29119842963663445,-0.14698832923866267,0.032634235558148816,-0.08756186255530285,-0.052416353102859414,-0.736845338988376
5323,0.035288550324823365,-0.5405110068752625,,-0.3692125753394746,-0.01732202588923548,0.06707882744866489,-0.2940788905103743,-0.15124751635721878,0.033947012233465634,-0.08538456862062171,-0.055361379280869816,-0.7410840086981901
5324,0.02441507457957337,-0.5534198747779977,,-0.3895515583903222,-0.028311036878246654,0.05908947991204694,-0.30397198130341707,-0.1421189072964223,0.03284649866046496,-0.07400447344164374,-0.05943968270664479,-0.75560048981585
5325,0.021672561013552083,-0.5634057566198745,,-0.39358573019858034,-0.03169895330964145,0.0561832711934207,-0.30634202396418486,-0.1414469163941453,0.02817445761979076,-0.07349301681316589,-0.06122684761322472,-0.7592583703968075
5326,0.02647031621529583,-0.5579917490176831,,-0.3850771033964059,-0.02804110300013085,0.05512953041365254,-0.29719952711677,-0.14764574378263107,0.03407093493051083,-0.07656018785907126,-0.061064667918122595,-0.756900132643565
5327,0.021976697908521303,-0.5597864212197243,,-0.39699605452870623,-0.0342540371995097,0.05170847778207377,-0.3053127946955163,-0.1391211706610258,0.02920959026423131,-0.07050952638845287,-0.0597670199051461,-0.7643139072218396
5328,0.017774683782068368,-0.5716467307317141,,-0.4057121911600371,-0.04548053172659361,0.04646326403961365,-0.3275630708514261,-0.1335548776575468,0.018590713613589438,-0.05491319611322354,-0.06821269149845466,-0.7697533270170615
5329,0.0016858374122495912,-0.5880554721060596,,-0.4143530132058101,-0.04631317119370437,0.04437612602761254,-0.3301873376004225,-0.13035147436188543,0.01428542985625092,-0.05190205489070021,-0.07368861354709377,-0.772511362447209
5330,0.008698196029099714,-0.5735433288104493,,-0.4060177504134971,-0.03743907246935607,0.05505042959439199,-0.3211034268998837,-0.14368617011624085,0.023398686046669948,-0.06361025062771608,-0.06407784949135131,-0.7635195080094642
5331,0.011035665625504842,-0.574112983769908,,-0.42913238968503575,-0.04261534555273605,0.052418850647023674,-0.32125880290982767,-0.1414595752529435,0.01994978424961058,-0.059560027865464216,-0.06925333064936512,-0.7673623773519066
5332,0.01915865801251293,-0.5808172510892652,,-0.4382606416247893,-0.0449813859146011,0.04795690838980582,-0.32219091414176815,-0.13587962175255597,0.018743802580531987,-0.053912589382205,-0.07231045052064433,-0.7699144828389334
5333,0.02061105528396423,-0.580204143266855,,-0.44233119793415165,-0.04609218846944696,0.05056992119356851,-0.32079404932724065,-0.13875687602990283,0.018352330646058457,-0.06123308677490458,-0.0735937357307822,-0.7754299686259508
5334,0.020085528535060182,-0.5779141557480802,,-0.45156543216838607,-0.04484392217263711,0.053713751426735845,-0.32157117086904996,-0.13986472371372827,0.017840606134454262,-0.058707579147871614,-0.06910799398134293,-0.7716325002715205
5335,0.015830192041473734,-0.5732547582362727,,-0.44531682694633745,-0.03512305007153993,0.05555343605222851,-0.31334007908461137,-0.14615808731023083,0.023737471168451485,-0.06918722445218439,-0.06283184335372782,-0.7611496540199322
5336,0.019370993122134306,-0.5796348362031688,,-0.44149917592455434,-0.038628869732176496,0.05265717486212851,-0.3188208182014295,-0.1395133965738642,0.023767735680284896,-0.04108131813853866,-0.06833791622822183,-0.765537026946631
5337,0.01574886879516424,-0.5744541196873197,,-0.43158033011752106,-0.03303915480763764,0.05554507194797775,-0.31788638431262706,-0.14835747774344887,0.028761531267585627,-0.058811112116351705,-0.06253988111789799,-0.7572267776391517
5338,0.017574702292249333,-0.5768744483200735,,-0.4308972700082314,-0.03416338190151058,0.0560716648916324,-0.31617165321364027,-0.1476810989713364,0.027362334284984136,-0.061432872729440424,-0.06302586848222658,-0.7617390251681591
5339,0.020659886054784082,-0.5865960661840769,,-0.4347705896710248,-0.04118191081784972,0.05422761852703806,-0.31835778688009886,-0.139856006682042,0.025539844764299047,-0.060118546574349896,-0.07160747469984308,-0.7635572069863408
5340,0.03305636143089463,-0.5986836433080743,,-0.45020408944406154,-0.07839964151202317,0.04423550703611001,-0.3256809405105132,-0.04020940003205631,0.015413108969016709,-0.05567589713977794,-0.08717979770514084,-0.7819195428462746
